,Word,Meaning,Origin,Origin_code,POS,Errors,Similarity,Freq,Freq_diff,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
195,वास्तविकता,reality,PA,0,noun,20319,0.72693384,18326,-12713,-0.51473117,1.1222131,-0.33485362,-0.4944076,1.4268538,-0.094993964,-0.82409716,0.06672201,3.677748,2.1269543,-0.26585856,1.8132463,-0.122773826,-0.7682986,-0.80983645,-1.1236751,-1.5442963,0.25426775,-2.1727593,-0.117116235,0.479051,-1.1415763,-0.09343792,0.33623427,0.8169508,-1.4512504,1.7400155,0.024952179,-0.24226059,-0.3852261,2.9376638,0.99265695,-0.5241341,-0.948261,0.1526203,0.7807032,2.113727,0.84193754,0.8512669,1.9757965,-1.3358985,1.0029724,-1.2263485,-0.723068,-3.0566797,1.7553515,1.2171774,-1.9884131,-1.4292269,-1.6283032,-1.105222,1.063375,0.3057937,0.38315913,-0.91982013,0.48675972,1.1326476,3.018354,-2.6503117,1.4023942,0.5577584,-0.8717125,0.497808,-0.69514036,0.4103712,1.6575521,-0.20296504,0.5869251,0.03421142,-0.59578514,1.210846,0.27298507,-0.24120359,0.7410983,-0.9737402,-1.1598583,2.8392813,-0.31795117,-1.2816316,0.7984214,-1.2382077,0.02339053,-0.56040627,-0.32760718,1.5479318,1.618839,1.5541282,-2.4444175,-0.96969044,0.11728377,-1.2054248,0.9269316,-0.015347404,0.9695423,2.0295491,0.43960044,3.0585608,2.3784945,0.7608798,-1.8377202,0.39785975,-0.18380126,-0.11269108,-0.6704149,0.014975525,-1.566839,1.0567206,2.0150762,-0.78925365,-1.2528682,3.1903443,0.50163347,-0.64372134,0.8080635,0.9782119,0.92068595,2.6543226,-1.7880812,0.27671832,2.624451,-2.5797467,1.1475059,0.3266365,2.0787628,1.4753525,1.5920106,1.5267509,-2.5426366,0.63910186,-2.3479617,-0.4536727,-0.12788637,-2.1847303,1.6247599,1.937411,3.4883053,-0.20556231,1.4124187,-0.8240108,0.14965056,2.4210083,0.25157392,0.666612,-2.595984,-0.13847502,1.2483128,-2.7655816,0.79164743,1.4534149,0.99277586,-1.3874271,-1.6938287,-1.7674981,-2.4022572,1.2154207,0.20751648,-0.12203305,-0.69199014,-2.424042,0.37057683,-2.300924,1.4421301,0.4813854,-0.692497,2.427448,-0.41508502,0.9881586,-0.8315045,0.5090259,-1.5044788,-1.5024139,1.1076,1.2818592,-0.36279204,0.8663185,-0.45648223,1.606236,0.67366326,-1.1052372,-0.34421778,-0.32581297,2.4986954,1.1956898,-0.85424006,-0.50223607,0.21842708,-1.6273061,1.4203727,0.48295733,-0.17257217,-0.9025733,-0.035718787,-0.6738634,0.18809421,1.0059863,-0.58343107,-1.8019333,1.3494415,1.0031375,1.2866884
139,चिठ्ठी,letter,SKRT,1,noun,20075,0.6944014,2095,-10787,1.7657878,1.9684373,1.0351787,0.5534262,-0.030159889,2.2542727,-0.9273104,-0.06522444,0.95297563,2.345793,-0.9501104,-0.8750225,0.6916267,0.06125132,0.16450627,-2.0143728,2.294101,-0.98243314,2.204388,0.59964633,0.44311583,0.61412084,-1.5278478,2.0471852,-1.6112763,-1.0068098,-0.9623576,-0.7289063,-0.43228993,1.450691,0.8775332,-2.8383448,2.499843,2.6736274,-0.22855826,2.4040768,1.5549406,0.24230562,-0.60673535,2.684742,1.9919386,-1.2147428,-0.12917829,0.40918046,-1.2463338,1.0652366,-3.5969605,-2.511547,0.18903005,1.5383903,0.6091124,-0.9401726,-0.25517163,-0.96465206,0.7800875,-0.23349972,1.2335833,-0.36995554,0.887206,-0.3013174,0.7166939,1.5157741,-0.8000452,-0.83531547,-1.7112134,-0.040446077,0.79363984,1.1942157,0.82966316,-0.70155287,1.037168,1.4319822,-0.62012756,1.321069,-1.5350136,1.8210944,1.0944226,-1.0507629,-0.2933558,-1.1098042,-1.2563164,-0.3203669,-1.0237738,1.9206622,-1.3698049,-0.8227078,-0.9392821,-0.38332468,0.35967758,-1.7098608,-0.90173507,-3.1233673,3.2847726,1.8199645,1.0683877,-0.91193414,-1.458363,-1.8612342,1.2009659,0.33285972,-0.0144169945,0.279153,0.52760345,-1.4891984,-1.5493176,-1.2273866,0.6414778,0.69956994,-0.13660845,-0.22952598,0.607852,-0.61107767,0.707658,-0.96295244,0.5211122,-0.19104443,0.25570908,-0.7921791,-0.018606594,0.28260636,0.45035157,-0.48252332,-0.67378324,1.602989,-0.13159543,-0.77011335,3.1311896,-0.103277,1.6089356,-1.1106203,0.6977285,0.9489595,1.3573626,1.0710388,-1.8297213,0.4781782,0.072663955,-0.6043263,-1.2867126,-0.12922765,0.34837812,-1.6279956,-2.5974064,0.0055217072,-1.3991622,0.6378066,0.8076089,-1.3719441,-3.0997832,-1.268706,-0.8302515,-2.1457946,-1.4602453,0.22215565,-1.9855275,1.6936802,-0.4429029,2.2809718,1.7863445,-0.83467275,0.8112326,0.8995024,1.2264774,-0.13766946,0.63484126,-1.5527892,-0.3542165,1.3903672,-0.6769545,0.9341741,-1.1230205,2.2200947,0.5250026,2.2705362,1.5406221,1.2987554,-0.7393449,3.961853,-1.4452691,-2.2987325,-2.0043924,-1.4017531,1.2868189,3.273437,-0.82829314,-0.30304527,-1.787154,0.23497154,-2.109982,2.9411411,2.3657584,-0.4340589,-0.5201851,-1.5803189,0.82839334,1.4991415,-0.10422863,-1.1308038,-2.0011833,-0.015743002
77,सपना,"dream, vision",SKRT,1,noun,19781,0.73557675,49078,31103,-1.5848776,-0.33093622,-1.2346396,0.918488,1.658325,2.2079604,1.0981567,1.3413146,4.1774726,0.67179745,-0.18273452,-3.2108064,0.53004485,0.9670527,-2.1991663,-0.3037069,1.6667054,0.2783143,-2.093689,0.95153296,-2.8334343,0.68233955,-1.7399043,3.034861,-0.44283018,-0.60931987,1.1829085,1.4123662,1.6532594,-2.2985108,0.12941743,-1.131085,0.7769491,1.1929598,-0.23139693,1.4903891,-1.4139874,-1.6071001,-1.0417392,-0.97158533,-0.28218615,0.5637802,-5.246426,-1.5769937,-0.45160815,-2.5557594,0.6031085,-1.535322,-2.0746353,-0.7531431,4.555841,-1.212825,-0.921308,1.3367596,1.261921,4.167874,-2.6246917,1.0214688,0.30144107,-3.4995,0.40427938,-0.966891,-1.1546098,2.4415784,0.81108755,2.934173,1.8973619,0.24398308,0.7101869,-2.8590255,-1.0056498,1.8803421,-1.6220301,1.5039736,-1.8149532,1.0057323,-0.30661035,-4.1965284,-1.6627855,0.9925273,-1.7779187,1.2430402,1.5856022,1.774706,2.4372451,1.5286425,-0.3398616,-3.1913884,1.1163589,-1.5948333,-4.247015,0.46398368,-1.9593061,-4.844917,3.7967842,0.35640287,3.9049702,0.36183518,1.6565696,-1.3928136,3.0790284,2.7064745,-0.48135108,2.7023687,0.58063436,-3.329424,-0.4489374,-0.08920437,0.5272869,3.151957,-1.3301803,1.4031882,-1.9549279,-1.3577831,-1.6276451,3.969536,-1.3163139,-0.818889,-0.5836681,3.269914,-4.3704295,-1.0159694,1.4816488,1.9200908,-1.3441256,2.8371167,0.20201077,0.7194118,-2.7382107,0.46425015,-0.64171106,-2.2082434,-0.56394833,-0.5348809,-0.2972335,-0.68004453,-0.28045356,-1.9776391,0.17351736,-1.4022148,1.8100367,0.34579948,0.8389328,0.4335361,0.84095526,-1.8868928,-1.779524,7.526995,2.2385774,1.1639881,0.87945515,-2.060346,-1.4939852,-4.6994886,1.1293162,1.5351423,-2.6453018,2.3354936,1.5214092,-0.820721,0.2674299,2.169225,0.6141471,0.684486,2.3218274,1.4873502,2.573804,-1.1183344,-1.9913063,-0.373248,-1.0286423,3.2325952,-0.054292336,1.882238,3.6908028,1.7307357,-1.8321176,4.826022,3.966553,-1.6675737,1.3447355,-0.5537367,-1.7469903,-1.7877228,-1.9074862,-1.0539266,3.5721204,2.3109543,-0.1408814,-2.8775656,0.3231284,-3.1168268,-1.4397753,0.9595296,-0.6374925,2.6538215,-1.095388,2.4753382,0.8838155,0.38938516
14,और,and,PA,0,adv,19658,0.737813,12011301,11253006,-0.46848667,-1.2339547,-1.7316126,-1.2449675,-1.1937454,0.7141088,-0.14133379,-0.42349696,-1.395136,0.15074585,2.2967224,1.2570925,0.7976695,0.31822854,-0.49807286,1.644948,-0.6350759,-0.7454695,-0.7999794,1.5434836,-0.9879056,-0.119906835,-0.06828324,-0.837665,1.0447195,-0.14982325,0.9164338,-0.33835346,-1.1341069,-0.8869853,-0.20876959,-0.024674179,-1.4190888,-0.4586655,-0.15180145,-1.1230893,-1.5830537,-0.13758425,-0.5917563,-0.670118,-1.0992597,-2.1356075,0.65404594,-0.15158176,1.3566482,-0.12831625,-1.4225609,0.17542325,0.4924005,-0.8055013,-1.4341327,0.008709733,0.8524292,-2.304393,0.75337803,0.9904339,1.108648,-0.3468846,0.7849194,1.1449652,-0.54972625,-0.3620455,0.39218727,-0.6491647,-0.0646144,0.8330044,-0.1868461,-0.16024545,0.7828851,1.0252297,-0.20359015,-1.7507869,0.90739655,0.15090218,1.8691058,-0.24105442,2.359638,-0.3295151,-0.653778,-0.72446334,1.05673,-0.79459345,-1.1537588,-0.7889425,0.14264134,-3.5646572,-0.27947178,0.22006322,0.91045386,0.16941084,0.5511755,-0.04275605,1.5445768,-0.9098295,-1.4224689,1.0484561,0.4829484,-0.9494164,-0.82969177,1.3560449,-0.010517439,-0.31901258,0.566588,0.41509166,0.14206165,-1.470165,0.8224887,-0.14555827,0.63723135,-0.8202545,-0.20093377,0.9426565,-0.022416249,1.3716103,-1.6064347,-1.0147222,-0.8181599,0.41286048,-1.4696205,-0.18920214,1.7665153,-1.9526728,-0.05980377,-0.8488641,-0.87608546,-1.2598034,-0.24499087,0.06411085,-0.8098319,0.2666298,-0.42209557,-0.886052,1.5193136,0.75856245,1.7730863,-0.52896374,0.2027592,0.099573635,-0.047593903,-1.3115894,-1.2228209,0.49835405,-0.49560833,2.4236023,-0.929297,-0.08550327,-0.47849554,-0.4411222,-0.05467365,0.6454473,1.5977688,-0.60051644,1.0524049,-0.6512399,1.5772973,-0.8817634,-0.5326162,0.21728082,-1.0712968,-0.8932774,1.5058328,1.1748472,-0.84236944,-0.51151735,-1.8107133,0.6756826,-1.3409576,-1.1638434,0.2486323,0.5547131,0.009704328,-0.33740342,0.84867615,-0.8058147,1.3522079,-0.8491407,-0.5382845,-0.9247809,1.291864,0.0279067,1.7006346,-0.8126162,-0.12633623,-1.4947331,0.023968106,-0.19770531,2.5292335,0.0516511,0.15809622,-1.5853417,-1.4120339,0.4053748,0.14226647,0.43374255,1.7440138,-0.050412886,-0.94487906,0.30483016,1.1124954,-0.83976305
257,पानी,water,SKRT,1,noun,18911,0.3152436,367779,365546,0.26419973,-0.8586814,0.6162192,2.5073876,-0.5565039,0.53700006,0.86558795,-0.18821996,-3.3835826,-0.5641781,2.0748584,-2.123933,0.6354063,1.3191894,-0.6360673,-0.41622964,-0.5313137,-2.0087729,0.2943063,3.5395174,2.089538,-1.4268272,-0.5947255,-0.37953883,0.36334935,-1.6638633,3.2655032,-0.23111908,-0.031539574,-1.8642843,-2.0671067,-1.8153315,-1.6293559,-1.2317547,1.2894663,-0.8009859,-2.155341,0.3410622,-0.6304086,3.3000362,-0.16433069,-0.1817977,1.5925415,-1.8526148,2.8854592,-2.5054884,1.3308476,-0.7622446,1.3937273,-0.09504955,0.9614887,-1.7149134,1.3429594,0.9403564,-1.6717702,1.5430762,-1.2488267,2.0766923,2.9768813,0.1881487,-0.72621936,3.1085954,-2.4186676,0.37450683,1.3591824,1.7298024,4.354477,2.486071,1.0636195,-1.3978682,1.6323856,-0.16498764,-0.6042239,-2.504313,-1.2515211,3.0511587,-2.4100525,1.3430927,0.36404887,0.48541918,0.8034222,-2.0768867,-0.38641834,1.4023933,2.5425603,1.2454491,-2.763466,2.1851816,2.2400267,3.8616195,-1.5212805,-0.110402584,3.7064335,5.498913,2.9909637,2.2870584,2.3331509,-1.45546,-1.7317872,-3.8000944,-0.6191947,-1.434088,-3.982822,1.7003883,-3.952825,3.0131621,0.076631375,-0.45868778,-1.7315624,-2.5100806,-3.4479995,-1.3529618,-0.6027818,-1.7545671,1.1575904,-1.8725139,0.47624248,1.4375901,0.25797632,-3.3054297,0.3909604,0.64430016,4.4496627,2.6954296,0.8414645,1.8767953,-1.5056509,-0.5852573,1.2172508,-0.7632047,0.16335957,0.015986344,-0.71542674,2.0980706,-1.2016146,4.768014,-1.896126,-3.2654078,-0.32312644,2.2891517,0.9230762,-0.5594828,-0.9255272,1.1403115,0.848474,-2.6670995,-2.5312757,0.8149971,-0.037259918,-2.094514,-1.6226554,0.7446583,0.70201635,-0.43311167,-0.11648746,-1.8942068,-2.3286734,-4.870052,0.17372943,-1.733034,0.6429189,0.6225682,-2.1749892,-0.6076248,-1.4790497,-0.1190778,2.3949122,2.2421732,-2.1412582,-3.0225794,-2.1067913,1.8026383,-3.642033,-2.625896,3.7516186,-1.699755,3.9458165,0.8406778,-1.9792851,-3.8975952,0.49536946,-1.9081057,0.2642804,-0.97694707,0.82136714,-2.3462029,0.4148796,-0.9359583,3.3260543,-0.6607573,1.7387401,-0.40182632,-2.5865827,2.3553383,-1.0918958,-3.0021214,4.638252,-1.8253939,3.858124,-2.0788465
96,त्योहार,festival,PA,0,adj,18042,0.7406363,36901,5830,0.23011728,-0.9564551,-2.8941398,0.6526107,-2.4225726,-2.045635,-0.5023739,-2.3403277,-0.2967628,-1.0467614,0.7346685,-2.247644,-1.0106899,-1.9201641,0.06924302,-0.14368768,0.36773008,1.8174323,1.0194435,3.521058,-0.2848194,-0.91646963,1.1332014,0.12964594,-0.04289768,0.7219808,-0.2127936,-1.2492077,1.2116224,0.04095485,-1.7950698,-0.13807665,-2.4468656,0.6692545,0.9291512,-2.0068002,-2.4469833,-0.030775039,0.9918986,1.4321175,2.1739194,2.4926171,-2.6052883,1.255239,0.23270535,1.0953871,-1.7666749,-1.1884038,-0.748898,1.7501538,1.8557069,-3.922394,2.0164127,-1.374218,-2.6092322,3.4514763,1.3715858,-0.6965482,-1.1827585,3.0173445,-0.978139,-3.3865068,-0.94130373,-0.88065565,-0.2517019,0.29693714,4.3455095,-1.2726966,-2.3730204,-1.9421564,-1.622011,0.4677879,-0.93684757,0.5249493,-0.4226249,-3.1948385,0.9516891,0.42931113,-1.3413677,-1.2272742,-1.3085847,-0.4764928,0.21600558,2.9922245,0.92650115,-0.67488384,-1.7217072,-1.6284621,-1.0432842,0.70124817,0.39245814,0.073888995,-0.27449396,0.41750097,0.9258935,1.6071905,-0.5372055,1.3057476,-0.19042748,-2.7091312,-0.91194713,2.9424243,0.29307365,-2.0810719,-1.0518249,-2.7054658,-1.2631752,-1.8607423,-1.1281915,1.3450347,-2.1461234,-0.10914407,-0.8023821,-0.49807432,0.18468869,0.7207671,3.4692194,-1.5756924,1.4155368,-0.2791492,-0.2996922,1.0490226,1.216244,-0.5555356,-0.11788591,5.37716,-2.0273702,1.737094,-1.9395825,1.0543259,-3.0556147,2.507512,-2.0537972,-0.33199733,1.3505157,0.0021085902,-1.150066,-1.4256465,1.3572375,-0.8769736,4.0181594,-2.6168094,1.836397,-0.9725275,-0.50277406,4.0603933,0.11260966,-0.33878985,-0.05869832,-1.6833603,1.1202458,1.1860896,2.9932628,-3.2226276,-0.49856937,-1.4538409,-0.43999624,-0.24861638,3.1616628,-0.7935494,-3.4847033,-0.07444478,-1.4479212,0.045922227,-1.5029471,-0.69904315,-1.3888685,0.68853027,-2.7110267,-0.528252,0.0057046795,2.0029664,0.64981055,2.0318267,2.1946454,-0.3840441,-0.063803665,-0.16111407,-0.48365614,1.2577118,2.3440065,2.1894193,1.8505923,1.6941121,2.3791945,2.0044045,0.27466577,3.7083702,5.666036,-0.06307484,-2.7251618,-0.6261,0.4088594,-2.7146041,1.8163602,-1.1138165,4.0833454,2.6781836,-1.2674956,3.3026054
66,कमी,deficiency,PA,0,noun,16874,0.58610415,138025,137413,-0.9735486,1.4988685,0.12353889,1.0240964,-3.4181104,0.22283557,-1.4901259,-0.85862327,1.1415545,0.87786186,2.8177283,-1.8295629,3.5827727,0.091300905,-2.227701,-3.7054648,2.5726151,2.0553634,-0.9257362,2.2794585,1.6830851,1.9017439,4.4476376,-0.9113541,0.33355424,-0.9080391,-3.408346,-1.8682252,1.6022125,1.3531972,0.8946866,-0.05435663,3.720454,-0.5624976,-1.0352597,3.2617176,2.2000222,0.40307176,0.12277204,1.3172532,0.34374508,-4.0628133,-1.0189282,-2.2781959,-1.9050246,-1.2676598,-1.6763922,0.54908746,-0.05333875,0.39143935,-2.1041334,-0.59144294,2.6769786,-4.6603036,-1.5556177,-1.0561378,0.93610746,5.95312,-1.1428602,1.2973306,-1.2554873,0.558278,3.414025,-1.813547,1.8290362,-0.5322985,1.5179913,0.9577718,-0.35194543,-4.2128797,0.67395175,0.85162854,-1.9729023,0.4556614,-1.5756882,2.3684764,0.8073594,0.98267174,-1.9158745,-1.0426416,0.14100187,-3.3340628,-1.6557835,2.94055,4.6081176,-1.2226355,-1.7513006,-1.5033797,-4.528234,1.1453136,-3.9219759,0.9968017,1.598746,0.696979,1.6400242,1.3547559,1.5281692,3.080781,0.9195592,-0.6087414,-1.5522126,-0.07690781,-0.3589711,2.1450279,-1.2285956,5.0135355,-0.6645824,0.50085276,-0.9126798,-0.77091646,4.254184,-1.885779,-2.655903,-0.14133124,-2.6570332,-2.4075167,0.442481,2.229019,1.2403328,-0.7842099,2.3755121,-1.8725295,-1.5937839,-3.6784835,-0.80245227,-0.8425274,-0.4533552,-0.052196965,-0.65324795,1.008903,0.3205784,-0.24305187,-0.74791944,0.04819639,0.9994282,1.9201976,-4.3835487,3.2054095,-2.4153836,-0.11497447,2.2405922,1.1080444,-3.5620213,-1.7885908,-2.5832562,0.2941905,-5.6815424,-2.172526,1.1434041,-0.2973418,-0.4109694,0.69509715,-2.3228583,-2.54564,0.6907242,-4.1795464,-0.023575248,1.6925926,-1.0222887,-2.612638,-2.636256,2.0822496,-0.022669788,0.20288141,-1.527459,0.28459585,1.80704,0.044817027,-2.1374843,0.041178085,-1.3893895,-1.2166938,0.27697903,1.6063296,-0.685883,-1.8346202,1.5997682,-0.89277977,1.8486471,1.643358,0.69980484,1.8073814,-0.8251298,-0.06245573,-2.7389627,-2.6876862,-3.5939085,-3.0787344,0.95407516,0.29871348,-0.037072733,3.0650241,-0.7243566,5.5713816,2.2644072,-4.686978,1.2093217,-0.2778451,3.1818438,3.9839768
216,फ़लक,"sky, heaven",PA,0,noun,15873,0.40091547,6216,-37951,3.1773448,-1.175517,-0.8788614,1.3024831,1.6676239,-0.56762606,-0.49978197,-0.036216047,0.8589897,-1.3442768,-0.9031939,-1.6056683,-1.5573057,-1.0983338,-0.08013372,-0.038033713,-0.5955289,-1.0339632,-1.0542035,-1.407662,-1.9875022,-3.040774,0.3980214,-0.8202405,2.486766,-0.34781858,0.8497623,0.03751163,-3.5400558,-2.4782796,2.8874197,0.4528233,-1.245875,-0.48695928,0.61111057,1.2341903,-1.0344963,-0.84024477,-0.8533719,0.6574957,-0.3620113,0.053562522,-0.4059213,0.818734,0.9635657,-0.531043,1.118969,-1.3473479,-2.394462,-1.7140799,0.88548285,-0.09087699,-0.6179317,1.7266756,-0.77098584,0.056416374,-0.3368712,2.067686,0.7773104,-1.3544221,-0.27593574,0.9864577,-3.186691,0.19495909,-0.54886264,2.7278333,-0.38221443,1.7679635,-1.9562403,0.60437036,-1.555395,-0.9504443,0.71039885,-0.3085311,1.6204048,-2.5006936,-0.71794176,1.1108614,-1.6746931,-1.2896153,-1.1415566,-1.7188841,-2.6072216,-0.028019588,-0.79227066,1.3050548,-0.52769744,-1.3049105,-0.9377539,1.9614757,-0.40524647,-0.793235,1.6160988,-2.0457404,-0.6456441,0.6280475,-0.06585804,0.1967007,1.4361179,-1.9612142,-2.1636016,2.4565032,0.17451653,-0.15984257,-0.23394105,-1.4213936,-0.36963248,2.246075,0.27978018,2.0175965,0.16738383,1.0297719,1.3449613,1.9397838,1.1751823,0.82960016,1.6691289,0.20949909,0.08232938,-1.3188959,-0.76430696,-1.5346032,-0.041732594,2.0040567,-0.45994473,-0.23164861,1.0475166,-0.8184512,-0.9378773,-2.4253662,0.8875274,-1.8835081,-0.43100488,2.2965145,-0.15397176,1.7717097,-1.608023,-0.46853247,-2.4878888,-0.2419621,2.2825108,2.6846757,-0.62715447,0.59989166,-1.2486814,-0.9696872,1.3625014,0.92358786,0.33620366,0.9504716,-2.043562,0.63679904,0.6440934,-1.9376068,-0.49177298,3.3092475,1.480196,2.6913865,-1.315055,-1.3927842,-0.44820836,-0.3523665,-0.05278994,-2.4944675,-1.1586682,-1.8501334,-0.76306534,0.37337655,-0.24244836,0.18734087,0.2496071,2.9539127,0.019721355,1.0732889,0.23660822,-0.50791395,2.2468638,1.9393092,0.4830815,-1.3239225,0.53899163,1.3125484,2.729512,-0.89282745,-0.10727976,0.63991785,2.641166,0.13523035,-1.6043258,-0.116973415,0.28925076,-0.5775762,-0.19644287,-0.070694774,0.2894031,1.2180477,1.6480777,1.4895592,-0.25200978,-0.09506484
175,प्रतिशत,"per cent, percentage",SKRT,1,adv,15508,0.9525149,179388,58058,-2.2615893,-2.3701732,0.44566894,-1.4372389,-0.7728591,-1.3026811,0.9216126,4.2748957,-4.4546304,1.6876869,5.3438735,1.7937101,1.8864125,1.5841279,-1.6653372,-3.6964173,-1.4872005,-0.4758227,3.2451653,-7.358199,5.303288,-1.8264755,3.1311162,1.2527119,2.8378935,-1.321952,0.8437444,0.49105617,1.4991223,3.9791312,0.26861218,-0.26981214,-0.41651154,-3.6228023,-0.5656108,0.48738915,-2.8866806,-0.78441393,3.2439792,0.80336314,-2.145889,4.474654,-3.0816202,0.0079055885,2.9362226,0.3141802,-4.2354765,-1.2389847,1.2035421,-0.27024946,0.95508146,2.280046,-2.6053336,-1.3799148,2.1590552,-3.4234054,0.984368,-0.50458896,2.9077318,-4.32626,-0.58582866,2.8759577,2.8243134,-1.7798735,1.3999536,5.214096,0.2082017,0.15598668,-1.3208348,0.20063835,2.3343837,1.2653042,1.6400461,0.78708625,-1.1136173,2.1359975,2.5022755,1.045342,1.6263257,0.27467033,-0.99905396,-4.040918,-2.2152388,2.4425848,4.416814,1.0985433,1.720229,-1.0305381,0.82130635,1.5404822,-3.8564224,1.9123602,2.9083002,-1.8546368,-0.14526312,3.1984606,3.8920527,-3.5100293,-0.97552705,-0.3464313,1.4985745,-0.12926939,1.445889,3.6331954,4.0124106,-0.92163366,-2.0781677,3.9675503,0.77157676,5.7400413,-1.5543892,1.7380341,0.22174898,-5.4378595,-1.3648587,-0.46407196,0.20943965,0.2142527,3.4198408,-1.4020504,3.2522674,5.313558,-1.675498,-2.6704328,-0.36649045,-0.14291598,-3.599394,-0.17776865,0.9649555,1.3170604,0.19296278,3.588269,-1.7841076,-1.4671987,0.09312338,3.5662973,-5.3475447,2.8589892,2.0796719,-0.6833671,1.1766498,2.3508587,-1.2813704,-1.0919706,2.118318,-0.044439044,-8.56718,0.223982,0.540832,-1.068222,-0.30568516,2.1899626,2.1894248,0.8752158,-3.1913145,-1.2953409,-0.3367596,-0.43746844,3.2851567,1.0409005,2.0076294,5.757775,-3.4002428,0.33853927,-1.3260956,0.82517564,1.0845402,-0.4481814,2.9251533,-2.0553162,-4.2317257,-2.8497262,-0.659536,-1.9748029,0.20400675,0.32655445,-1.1946607,-3.0587537,0.74026364,-4.3416967,1.7399755,0.7405183,-0.5175097,1.4381418,0.22050238,-1.6232318,-6.3727655,-0.51584774,5.266028,1.6477917,-4.7637506,-0.10860972,0.71439713,5.932827,2.427671,-0.09792733,-2.5293806,4.5657296,5.977084,0.9906515
53,देश,country,SKRT,1,noun,15152,0.7531667,901447,881066,-2.555695,0.84156764,-0.7439584,0.3033091,-1.6788461,-2.4787118,0.3983483,2.3685608,-1.4770765,1.0055104,-0.76437956,-0.47631595,1.324464,-0.38897133,-1.2766837,-1.0959901,-3.4772036,0.75647855,1.3053415,2.1154943,-1.5203459,3.6664703,-0.21383187,2.1890075,1.6922373,-0.60606736,0.43365413,-1.3251522,-2.1386046,-0.9901045,1.0818514,-0.6175489,-0.48522913,0.419147,-0.7448039,1.2050736,-1.9526293,0.7530889,4.238366,3.34191,1.2294091,0.39526343,-0.5999539,1.9299577,-1.4510205,-1.7563432,-2.308655,-1.2716318,2.1898358,0.035606783,-0.76886404,-1.9849887,1.3071895,-0.66985756,0.82672685,0.9696598,1.2830397,2.3787653,1.5182916,-1.7460827,-3.3836424,-0.62243867,-2.2661734,0.9589701,2.6910403,2.0392807,2.7989614,-1.1317632,-0.11297162,-0.42154452,-1.4543992,-1.8394868,-4.3139515,0.3114745,-1.9847269,0.7965819,0.5170133,-0.2637255,-0.7810415,0.21628171,-1.5013921,-0.07369354,1.2487704,0.3743661,2.468921,2.8925526,-0.36792064,-2.2516935,0.8803308,2.2445033,-0.22843726,0.12482394,1.137826,-1.4550711,0.68443906,-0.061743032,3.6467938,3.1993937,-0.56586206,-1.0417672,-1.3568432,4.8123865,2.3571355,-0.6514162,4.105084,1.155841,-1.2731105,0.75671047,2.0445998,1.1388073,0.32836425,0.287472,0.29931837,-1.0664918,0.4054375,1.30277,2.927214,1.667287,-0.432835,-0.030071866,-2.3818724,0.94298893,-0.77743924,-3.7219036,-1.9482203,1.941631,-2.4748437,1.746712,-2.8871734,1.9134831,-3.8859177,-1.5410011,0.9383231,0.08930873,3.6064835,0.7486068,-3.6596634,2.4043517,-1.075385,2.4009447,1.0251346,-0.41024607,3.392215,-0.9301044,0.27161926,0.3093792,2.1210952,-2.356855,-0.3463497,-0.57970273,0.3414894,-3.2968788,0.84558773,1.1377802,1.1438366,1.0696043,-0.6804364,0.9260731,2.3075278,-0.59693474,-4.1183968,0.80126375,-1.1239234,-0.2662161,0.5250194,-1.4283544,1.9163618,-0.37622857,0.74342716,-4.1348667,0.64890397,-0.52335274,0.04009823,0.9549752,-1.4619936,0.16180426,1.1293982,-0.10046541,1.4220079,0.91632146,-1.9426813,-1.4652131,-0.17901595,-0.3008863,1.4497019,0.70493495,-0.24531965,3.4461718,2.2152092,-0.09729545,1.7329373,-0.36192334,-0.17212768,1.3111593,1.9289075,1.2872045,0.11484784,2.1390154,3.2382872,1.0446265
