,Word,Meaning,Origin,Origin_code,POS,Errors,Freq,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
139,चिठ्ठी,letter,SKRT,1,noun,20074,226,0.82523865,0.057901945,0.5628617,-1.1091024,0.16271278,0.30762324,-1.2471057,-1.2778064,-0.08298316,0.19572558,-0.51556003,0.18366544,0.34522787,0.3360104,0.21124975,1.443033,-0.07390545,0.19264933,0.49833187,0.8245421,-0.5342836,0.03824944,-0.4274249,0.026433932,-0.4266547,-0.58974963,0.5952736,-0.34575513,-0.20330743,-0.87009066,-0.68142146,-0.21014003,0.34037855,-0.035587855,0.5579653,0.19411731,0.5625343,-0.71411884,-0.7528886,-0.09092979,-0.06627178,0.48795003,0.54239696,-0.09865659,0.07775836,0.45920902,0.29487276,-0.3019838,-0.10628294,0.7165363,0.65730584,-0.41777974,0.14012352,0.23511861,-0.6288327,-0.56870663,0.21183437,-0.41260242,0.09584181,-0.7919728,-0.4543721,0.18840897,-0.38297853,0.019381277,-0.2806622,0.54668236,0.78909224,0.6085489,-0.30204538,0.81723416,0.73886454,-0.74946755,0.41245264,0.37645403,0.20120113,-0.3646153,0.7783011,-0.7917421,0.43991154,0.13141304,0.74618596,-0.6596596,0.3539114,-0.3336182,-0.56561714,0.92927116,-0.52150095,0.009583519,-0.38111275,-0.71152616,0.5288342,-0.5050448,-0.30253917,0.59869796,0.41107225,0.2554311,0.59097373,-0.47854277,-0.0708995,-0.37382215,-0.1491815,0.15217811,-0.24205154,-0.5874188,-0.14200059,-0.3611677,0.3009987,0.19234313,-0.1896019,0.30350384,-0.04593258,0.44942385,-0.99020153,0.18702367,0.47709754,-0.8564484,0.52853423,-0.19180153,0.016644945,-0.16520557,0.2572219,0.5719722,-0.31147236,0.52421504,-0.39420226,0.31965688,0.17000571,0.04558279,-0.061124545,-0.58069396,0.43420407,0.18410774,0.37802318,-0.7466258,-0.8416384,-0.18638034,0.739204,-0.48203638,-1.7390211,0.20572698,0.09631591,0.08506427,0.43257558,-0.655082,-0.5908889,-0.6170456,0.42621744,0.28399977,0.55134684,-0.21974087,0.18674104,-0.7458589,0.41326484,0.79995507,0.41975233,1.1996231,0.45008206,-0.0068051633,-0.45022935,0.6042328,-0.5227204,-0.4568077,-0.75409687,-0.6970651,0.2677896,0.33976135,0.060230423,-0.11181677,-1.2644824,-0.0016405662,-0.5334746,1.0934168,0.19923699,-0.9880197,0.6315541,-0.1032766,-0.88993645,1.0257239,-1.0548522,1.2851914,0.5852876,0.32636467,-0.06278634,0.11396281,-0.23711453,0.9444716,0.9071032,0.16878694,0.35745654,0.32714796,-0.27960342,0.46869275,-0.83060265,-0.2957844,0.7443917,-0.6099363,-0.41291037,1.0437887,0.69372064,0.056455836
257,पानी,water,SKRT,1,noun,19979,60089,-0.85707414,1.5758152,-3.9494097,0.17640015,-1.5255172,-0.8655946,-2.1838558,-0.7359516,1.5257668,-0.74453986,0.8096765,0.66109115,-0.04542073,0.19862138,2.4815743,-2.1578975,3.1397486,0.9802527,0.22922295,0.42338702,-0.33077762,-3.1851697,0.43173587,-0.6004879,-0.79704446,-2.0299432,-0.27795714,0.26615772,0.96187276,1.4620618,-2.9067187,-1.7962241,0.59483427,0.07358809,0.42233706,2.0180192,-1.0082452,3.6760566,2.0386395,-0.33304426,2.650306,-0.44922128,1.4477005,1.4510994,-0.8906348,-1.5303714,-0.20148985,2.9416838,0.9537516,2.947394,1.1658757,1.7770301,-0.7910775,-2.862026,1.1687838,1.0987436,0.5923016,0.24491183,1.4664985,-1.2451925,2.18565,-1.7692257,-2.2764447,-1.8692558,-1.140327,0.07587417,1.3561041,1.5022075,-0.8099428,-0.12457944,-0.96583587,-0.1305478,0.4011041,0.3134783,0.859791,2.5502644,1.5182987,-0.33761516,-1.9317774,0.2400848,-1.5747415,-1.1115348,-0.7715065,2.7297597,0.10416864,1.1589575,-1.7886704,-1.0417241,-1.6650094,-2.7930346,-1.5998378,-3.010415,1.6071038,1.0498768,2.0871296,-0.13733321,2.5645525,1.2152069,0.888761,-2.8628695,-0.72312796,-0.15592071,0.21533225,2.8982584,-0.96150523,-1.504676,0.32540187,-1.4147667,-1.012323,0.7942491,-0.01665412,0.9411722,-2.2064993,-0.22840928,-0.7487694,0.825128,0.34236076,-0.958476,0.89513564,0.03572061,-2.298364,2.779271,1.133566,3.4318037,4.9078493,-0.9710739,1.0466902,3.1675286,-2.1642246,0.8000188,-2.8326197,-0.29477462,0.07754531,-2.2812622,1.5210874,-0.48727456,0.88040227,-3.2950213,-2.4799583,-2.0959725,-1.0419317,0.34651953,-2.359,2.0194259,1.0794871,-1.4183931,-1.0818987,3.2954175,2.4668508,2.4662986,-1.6485907,0.6311339,0.20218669,2.6069782,0.46743715,1.2535694,-2.1670685,0.02900948,2.4510367,0.108608015,-0.9175699,0.96715766,-3.10816,2.4631672,-0.02003801,3.6966228,-1.4162856,1.7730067,-0.7473046,0.13299586,-1.2799783,2.2018125,0.4332619,1.1021669,-2.8427403,-0.20987375,-0.06444554,0.17855133,1.1111075,2.1024327,2.1646156,-0.4922938,1.0557271,-0.91909117,2.8102252,-0.9231158,0.4671518,1.451305,0.6311105,-0.9838628,0.6078632,2.2539237,2.334193,0.33930382,0.86982673,0.549463,0.14682993,-2.259126,2.1610167,-0.77290684
77,सपना,"dream, vision",SKRT,1,noun,19651,6203,1.1335708,-2.193267,0.22992705,1.2572671,-0.98869336,-0.7967104,0.020568248,-1.5145103,-1.7914532,-0.5023792,1.7477721,-2.3660495,-0.65895003,0.4009737,0.59499234,2.8559406,0.32331133,1.3764795,-0.69246995,2.7463892,-0.67351145,-0.019576544,-1.7975029,0.599887,-2.9333735,0.2463608,0.0739638,-1.2301795,-0.08489781,-1.4225111,-3.1637645,-1.8486106,1.6456752,-0.17498745,1.3707678,0.7208559,-0.49077588,-1.326152,-0.8022531,0.25543594,-0.43052718,0.22672467,-2.1683507,1.2222283,0.4554269,-0.87799066,2.885515,0.09615528,0.5792336,-0.9195722,-0.54089147,0.7163348,-0.5340283,-1.6502813,-1.3320475,1.3769062,-0.6746321,0.67665094,0.05235648,0.39027518,-0.68562996,0.8151417,1.9003646,3.6084378,-0.79414904,1.4008356,-1.8395617,0.121566996,0.82709026,-0.28010473,-0.003365122,1.5910983,0.13440356,2.710997,2.6674087,1.7216733,-2.6562188,1.219497,-1.198312,-0.5852816,0.36054087,1.5633464,-2.3397639,-1.3668413,-1.2570817,2.804711,-2.3795557,-0.36374518,0.11442853,-1.9041181,-0.06654523,-0.31682038,-3.9559214,-0.943069,1.7952951,-0.75150925,2.1295984,-0.39899045,-0.3956717,0.56814176,-0.1489182,-1.2498143,1.0533334,2.425744,-0.4042345,0.393224,-1.9021089,-0.486429,0.009595289,-2.904263,-0.49741584,-3.1998444,-1.1797122,0.9909365,-0.81686044,0.36914927,1.7108979,-0.46682546,-0.46197584,-1.7381985,-2.7323215,-0.52520436,-1.6737548,0.36075637,-0.9534753,-3.7660577,-1.368736,0.57843024,-3.4656513,-1.2570419,-1.2640281,2.4083695,-2.1827962,-0.90780044,-2.500382,0.44710237,0.5656063,-2.0429263,-0.26079613,0.5382477,-0.8949476,-0.1831297,0.80707175,0.8430399,-0.81768113,-1.3271992,1.8844974,-0.3436651,2.9114192,1.6095927,-1.3947097,-0.021924995,1.2315172,-4.453454,-0.6220899,-1.364013,-2.3690057,1.827873,-1.6693394,0.46989688,2.686805,-1.4541233,3.4119384,-1.9645957,2.3646026,1.7318013,-1.6525198,2.451919,-0.56938684,0.61687183,2.310302,-0.5266229,1.8714684,1.1985042,-0.89053065,-0.4140664,-0.89973044,1.1978887,1.2724087,0.062058788,2.0394795,0.40602598,-0.659953,-1.0633897,3.4618368,0.38558495,-1.7408857,2.954947,-0.54282105,-1.3985405,2.8848739,1.3704668,-0.6057292,-0.54838574,-0.7236919,-0.045956932,-0.73695725,-2.921193,-0.034043934,-1.115907
96,त्योहार,festival,PA,0,adj,19293,2867,-0.28690484,0.4180074,1.6624614,1.1259259,1.3096377,0.24094355,0.31600034,-0.64035904,3.0116014,-0.5078947,2.450048,-0.55405116,0.61583614,0.5906701,0.48955747,-2.6976485,0.084098585,0.3074196,2.3248656,-0.94837046,2.3429074,-1.6586452,-0.33972484,-1.6920654,-3.8397653,1.1070714,-2.5308313,0.33887535,-1.3441967,1.4682202,-0.55883545,1.5645108,-1.9786501,-0.0140083,0.7074255,-2.297783,1.0770457,1.5512692,-1.7534102,-0.4445662,-1.5352228,-1.1251315,0.5770146,0.27650124,0.6016361,-1.3273005,1.0754663,-0.68549687,-0.20166606,0.39338672,3.2869945,0.18233658,-0.58608335,0.102644004,0.69771516,1.2152678,0.0021346554,1.8347645,-1.6130381,0.23942947,0.5728815,1.4062847,-1.4304795,0.99061054,-1.6599445,2.0626159,0.8217101,0.4080997,2.8588355,1.0889378,0.3276727,1.3773938,1.8735431,2.0797327,1.7114478,1.7869732,0.34436932,1.8414452,-1.7019244,0.82044345,0.89072496,-2.6551716,1.6540829,0.1674855,-0.80817765,0.056003045,-0.028219603,0.41038817,-0.20639157,-0.98934716,2.038728,-0.8156531,-0.4131194,1.7837554,-0.31153852,0.1377506,0.78766423,0.90945494,-2.260334,0.96321374,-1.1049584,-3.2852774,0.5986069,0.27662155,-0.1239957,-0.22772864,-1.8499113,-0.64681035,-1.4236658,-0.23866194,0.69660985,-2.5390742,-0.25541186,0.46287638,-1.8870533,-0.072823964,1.586919,0.3315317,-0.23437591,0.4852001,-1.0578249,-0.88928455,-1.7454149,-1.5127417,-1.8500191,-0.0039707236,0.7495441,3.982308,1.1748477,2.2656922,-1.1993128,-1.4005101,0.89062226,-1.0255688,-0.30621645,-1.4641256,0.6099006,1.5387554,2.2997959,2.2242618,2.1999393,-0.52914643,-0.2604802,2.0248563,0.9742181,2.0912986,-0.7859113,-0.8216854,0.10333274,0.6170048,0.77520335,-0.08241587,0.6131161,-0.31941265,0.30876726,-0.35010853,-0.66559076,1.7502179,-0.6684163,-0.7786881,2.0071995,-1.00988,-2.054894,1.4249166,0.51703376,-0.3384246,0.16420512,1.4439867,0.2723705,0.38433018,2.4811287,1.0173476,0.8692311,0.017294021,-2.514425,1.1529185,-0.5270966,-0.19821452,-0.8320232,2.068956,-0.97896254,0.9619593,0.8098032,-1.2901968,0.65429395,1.4172232,-2.6068087,0.16912465,1.3656837,2.930938,-1.4233487,-0.826151,-0.10860544,-0.6421392,-1.3340945,-0.56325567,-0.17341827,1.345632,-0.81425035,0.46832368
66,कमी,deficiency,PA,0,noun,18919,20626,-1.0310878,-0.53207314,-0.8358482,-1.8487861,-1.5992547,-2.9099262,0.10082552,-1.0113399,1.6840159,1.3688513,2.793187,0.030981895,1.1869055,4.032001,-0.6537357,-0.06734117,2.8091054,-2.201876,-1.3285003,-0.41769838,-0.44912744,0.42700285,-0.60840404,-1.8156803,-1.6614789,0.21889338,-2.8829153,0.38650706,0.10984204,2.1046731,3.6843293,0.9065933,-0.8951161,-0.4462034,0.6601626,-0.93625546,-1.6165463,0.5832798,-0.36306608,-0.44195396,-0.16277447,2.3558733,2.052386,3.647339,0.1384299,-0.45841706,-1.2132195,-0.34434453,0.46545246,0.12298887,0.23779432,0.78711194,1.4118282,-2.2836337,-0.38117018,-1.4220247,-0.31667167,1.7261653,1.737942,-1.2903036,-1.5664079,-0.9974832,-1.7564181,0.28872707,-3.544689,1.4063336,-0.06230582,-1.2782606,-0.21097656,-0.98899186,-1.521939,-0.4886107,2.5645463,-1.8353869,-0.898342,-0.30465892,0.31448972,-1.9472365,-2.0141687,3.0856164,-0.9000032,-1.0517089,1.3065709,0.39400864,0.41623315,0.97841966,-2.1991308,-1.2089227,-0.87893915,-0.4080262,1.6241859,-0.2944343,2.4929016,-1.1632105,-0.8122091,1.7760792,-0.11539888,1.6967361,0.63229364,-0.31990907,0.555081,-0.19733433,2.1631439,1.633897,0.2708828,3.95624,-1.2752782,2.9278533,-2.6870203,-0.28150356,0.7791997,-1.107163,-1.477301,2.0690663,-1.0547307,0.93316466,-2.8736117,1.5458596,1.6611563,-1.2844173,-0.45965555,-1.0594419,2.677768,-0.52651864,1.1101545,0.19690013,-1.6359311,1.1230302,1.5548984,0.485851,1.5562439,-1.703817,-0.39877552,2.129268,-2.2321148,-1.752159,-0.8654477,-2.2412791,-1.0207742,-2.751995,2.4240217,-2.2717512,-2.5890675,-0.8698041,-0.40864825,-0.4582907,1.1209135,0.52425385,1.2483883,1.0843976,0.78689766,-0.6653902,-3.3336751,-1.3271956,-1.0084552,1.4874464,-2.1700659,-0.016676731,1.8799956,0.46040502,-2.098833,-0.07983188,-6.2594113,-2.6357672,0.99466634,-1.4405906,-0.19532225,0.07239843,0.19047198,-0.69181263,-0.11180229,-2.631796,0.7210991,2.3789384,2.3267717,-0.36927676,1.4831374,0.15825729,2.1352844,-1.233303,0.9530356,-1.844076,-0.32279283,-2.224525,1.9221797,-3.848929,-1.913031,1.0163494,-1.7215669,-0.39381778,-3.7511365,-3.0710049,0.49330443,-2.5302575,1.0943654,-0.09178357,-2.4522433,0.8329323,0.7843277,1.5091491
57,प्यारा,"dear, beloved",SKRT,1,noun,18655,1655,1.411369,0.08866165,-0.4988651,0.6849562,0.36942613,0.3208605,1.287665,-2.2816167,-1.1775157,-1.5600333,-1.6568724,0.045742102,1.7529768,-2.1973424,2.936402,1.6440815,2.4599633,-1.3581896,2.7247493,1.1025164,0.5670641,-0.13344987,-2.0237315,-0.13159174,-2.850594,1.5230652,0.80617356,-2.1009696,0.4527807,-0.7881115,-0.8892619,-0.25236198,0.67163813,-0.24394372,-0.41472176,-1.3963113,-0.05585386,-0.39465386,0.38387635,1.74765,0.95731634,-0.19903515,-1.4942789,1.4974041,3.1594875,1.646637,2.7019413,0.17097346,-1.230745,0.5579035,1.1828581,-1.5799396,-0.17943092,-0.12180103,2.3652046,-0.40026528,-0.45202932,-1.3809116,-1.1725122,-2.8255804,0.33741027,1.160734,1.0050045,2.7632213,1.2073504,0.76241803,-1.7072116,0.71833843,-0.40799883,0.15311891,2.471426,0.6947314,1.592877,-0.16516647,1.1996979,1.556932,0.6126282,-0.63905555,-0.71838087,-2.4226208,-0.024378872,0.803272,-0.15371868,0.2450931,-0.25453898,-1.4495062,1.0609848,-1.0528082,1.7247893,-1.7901628,0.5267482,-0.38292846,0.18572377,1.1254628,1.8122925,-0.83039546,1.3321376,-0.32657778,-1.7701721,0.51931566,-0.554563,0.8657891,0.069073364,-0.5308825,-2.4243515,-0.78731406,0.110784106,-0.55854857,0.7780169,-3.1039429,1.3314707,0.20985003,-2.2069824,-1.0639548,0.34581655,-0.86798733,0.3810495,-2.091638,-0.24038151,2.1607158,-1.2434729,-1.3605721,-1.8626891,-1.0009421,-2.0637639,-1.3840232,-1.4114332,0.1875456,-0.11678735,0.46100354,-0.19651894,-0.4771576,0.12328498,-1.2462461,-2.2908556,-0.364047,0.5253925,-1.6707007,-0.040427227,0.40786842,0.19067365,1.3126119,1.2198924,-0.42345572,1.0376122,-0.8399823,0.23684469,0.054037694,-0.44236624,-0.44906878,0.32610777,1.6700497,2.5441685,0.20364702,1.5133938,-0.40161303,-0.7921233,2.406149,0.4769493,-0.16234848,-0.24223445,-0.036285706,-0.41722772,1.54519,0.69080085,0.6049321,0.69441587,1.2561182,0.903007,0.5364531,-0.34561437,1.7812103,2.1826305,-0.3232717,-1.5148131,-0.12632118,0.6676869,-0.64934003,0.7426211,-0.14056438,2.1669812,1.6221802,1.0135831,0.5721367,0.41722035,0.9507222,-0.97118443,0.6731052,-0.06906302,-1.4148275,3.0350895,-1.7176173,-1.5049765,-1.5537254,-2.6953256,0.6526196,0.29206687,-0.9821724,-2.2844303,-0.5761598
221,अनोखा,strange,SKRT,1,adj,18009,1075,-0.6323613,1.1635094,0.8356684,1.4190935,-0.36840594,-1.5679809,0.26646116,-2.0211594,-1.6062918,0.5709405,-0.43853042,0.5656079,-0.110126175,0.3958692,1.0162374,-0.4559563,1.6003488,1.9375548,0.12866683,1.4357563,0.6177382,-0.45498267,-0.7094425,-0.951098,-1.7093438,-0.2344374,-1.260927,-1.3822353,-0.6356237,0.20143846,0.51978105,-0.53673005,0.5801176,-0.6276045,-1.5762669,-0.6765888,-0.59176445,0.6219386,-0.35383645,-0.23356414,0.27035624,0.13357463,-1.7295295,0.5669231,1.0371171,0.72376376,0.73173547,0.37475163,0.13923721,-0.9549417,0.73358476,-0.40762067,1.0156144,0.3015528,1.7717643,-1.0809559,-0.91276073,-0.35661146,-1.0956575,-2.239735,-1.3127041,-0.946462,0.63142174,0.9533062,1.4087695,-0.30878502,0.4013547,0.4633894,-0.36961555,-0.9916691,1.4371002,0.57863307,0.66647816,-0.7379817,0.70339555,-1.6783816,-0.7755791,0.850995,-1.0819064,-2.80621,1.4157776,-0.47367063,-0.8012364,1.362106,-1.6714417,-1.7311068,0.552515,-1.3846558,-0.9450974,-0.43751726,1.2999614,-0.035686955,0.1761922,-0.53256524,2.3881402,-0.9832508,0.9673362,0.42980185,-0.2607539,0.38470802,-0.4736174,-0.44027784,0.76916486,0.2599166,-0.18837157,0.59333545,-0.2373168,1.8311989,0.56910753,-1.2690065,0.07507462,-2.2720754,-1.7340649,0.18927701,-0.9646181,-1.1046615,-0.00634246,0.21056421,-1.1747538,-0.02199842,-0.51659024,-0.77787024,-0.7090479,-1.6945635,-2.9949994,-0.9343796,-0.4078384,0.7111951,-0.57241744,0.16149262,-2.0884836,0.21536478,-0.22097793,-1.0630507,0.97640514,-0.6988643,-0.0016868914,0.48716342,0.30239707,1.2820607,0.900268,0.91712785,0.82428634,1.0438954,1.1129183,-0.065321855,1.3457313,-0.11544613,-0.7043665,-0.39251244,-0.12723428,1.6623291,1.8614415,1.1061685,2.1960902,-1.9876078,-0.14078264,1.7393807,-0.8751631,-0.52992123,-0.5795397,0.24675725,0.45914468,0.39900997,0.27450928,-1.0258389,-0.03322924,0.9222359,1.2669848,-0.012504573,-0.3463379,-0.46222457,0.9746462,-1.002336,-0.4339502,0.48017186,1.0040727,-0.48732835,1.4547267,-1.8763173,0.6029036,1.0027059,1.0896816,-0.68381673,0.4129127,0.49474767,-1.0411237,-0.33411726,0.2308406,0.45785463,1.2897053,1.6550274,-1.4624463,-1.8022035,-0.21063317,0.10491966,0.27677733,1.0974256,-0.30543277,-0.10879502
14,और,and,PA,0,adv,17304,1610215,-0.15601309,0.054715715,0.53932583,-0.7084976,1.0218351,-0.12515773,-0.27354944,-0.7650917,1.9038675,0.50193447,0.12001345,-0.30797443,-1.5823843,0.508152,0.13011986,-0.34339595,1.182064,0.03230413,-0.26995936,-1.1489311,1.6194508,0.37477183,-0.044230487,-0.08860737,-1.1511344,0.40572986,0.37981886,0.46007633,0.22076595,0.34104562,-0.5617438,-0.086643755,-0.3436113,-0.8288823,0.4604827,-1.1413953,1.1982985,0.23221898,-0.4441126,0.6650642,1.477017,-0.32777175,0.93974036,0.4957089,-0.9970048,-0.26412296,0.6688135,-0.30604875,-0.04134198,-0.14557174,1.2081354,1.5823923,-0.081106514,0.21380205,-0.085906714,-0.72393876,1.2010972,-0.8185719,1.4656569,0.0067185583,-1.0452117,-0.6747603,1.3671074,1.0149148,-0.49402493,-0.61594325,-0.6921505,0.1373254,-0.59551877,0.12887533,-0.29431546,0.27829364,0.86948305,0.38411653,-1.2849976,0.94324976,0.3669009,-1.520032,-2.910179,-0.49338317,-0.6305788,-0.47277272,-0.9791717,-0.4519487,-0.1319826,0.55540407,0.13433339,0.7689096,0.37929845,2.1159928,1.0427976,0.026815785,0.12843211,0.27601302,0.54113066,0.61475843,-0.88119775,0.59315497,-0.77397066,-1.2208486,-1.7515684,-0.3570284,0.07658055,0.27482283,-0.77897626,0.31992573,-0.33146435,-0.97203714,0.7501426,-1.0390567,-0.9922569,-0.6087969,1.1052129,0.14565532,0.91738373,-0.041904084,0.92815286,1.0820727,0.6722328,0.10493216,0.50316405,0.14803152,1.4327393,0.08143327,-0.0800449,-0.93970567,0.27696565,0.5656036,-0.61596805,-0.17114075,-0.403851,-1.5916172,0.35825905,-0.27477124,-0.27902135,-0.93418705,0.029914001,0.0018457663,-0.80073684,-1.1820911,1.2828579,0.11285466,-1.4774513,2.2140753,1.5438762,1.4058837,0.023193527,-0.9413311,0.65394634,-1.1481643,0.12065786,2.0796037,0.56239855,1.1592152,-0.88102686,-0.24109848,-1.4290307,1.8551962,-0.111266054,0.93998885,-0.41804644,-0.5711492,0.34700462,-0.35997456,-0.1243839,1.7382618,-1.4414952,0.0784992,0.47983444,-1.255478,-0.30268878,0.92388815,-0.16666274,1.3192707,-0.40410095,-1.1906401,1.0368434,0.60004985,0.22387122,-1.3126526,0.42667505,-1.0167593,0.7061165,-0.43304592,-0.0032384205,-1.3983063,0.08049417,0.5034436,0.05919023,-0.6714613,-0.70779115,0.09218083,-0.08666627,-0.42462507,0.34650487,0.46010113,-1.5761398,-1.3950695,-1.420021,-0.009072218
111,स्वस्थता,health,SKRT,1,noun,16617,46,-0.06229194,-0.23606226,-0.015749553,0.3444911,-0.061002683,0.02111682,-0.06617384,0.17592731,0.018537944,-0.057362277,-0.25752166,0.15464604,-0.012308253,0.2465456,-0.20700973,0.011383443,0.3621118,-0.13711175,-0.22235015,-0.23792346,-0.3397114,-0.015818825,0.38505146,0.05768239,-0.18856186,0.069367886,-0.5154475,0.08668507,0.19240496,-0.020846581,0.5630436,-0.27627608,-0.0339769,-0.11907131,-0.17358531,0.067287885,-0.116300374,-0.42852792,0.11318446,0.1284277,0.07273559,0.0629965,0.1032855,-0.038080964,-0.19149211,-0.10132011,0.31334573,-0.065405704,0.13590449,-0.38098198,-0.19866171,-0.45805687,0.25156403,-0.32684729,-0.30359557,0.08231249,0.33569974,-0.20213354,-0.12462782,0.3734676,0.09842667,-0.1546252,0.16099542,0.19056031,-0.041889507,0.25732648,0.22898184,0.14255847,-0.23649831,0.19430286,0.2913551,0.07046993,0.02941589,-0.29836747,-0.049408935,0.08318211,-0.10600031,0.14853737,-0.20708062,-0.02792449,0.0018114945,0.19742185,0.014824214,-0.00908276,0.08833627,-0.02048482,-0.24605799,-0.07984984,-0.06573187,-0.14880738,0.4338152,0.014011423,0.26919714,-0.30862528,0.18612742,-0.27016044,0.1711803,0.34638408,0.03221938,0.06422456,0.0009460648,0.06465767,0.24697722,0.22088407,0.16086754,-0.112849705,0.059753098,-0.18590133,-0.3758916,0.089943886,0.12219762,0.16484126,-0.3264645,0.25713006,0.33890155,0.08729361,-0.20560399,0.103357136,-0.025834512,-0.1150991,-0.04157965,-0.18523109,0.2518188,0.11039009,-0.07465584,-0.07343308,-0.25994176,-0.079866506,0.4335101,-0.20690127,0.0678323,-0.40187088,0.0720667,-0.020590357,0.17413631,0.1767311,0.26421052,-0.024746059,0.106668614,-0.025899617,-0.14128882,-0.028629763,-0.018355483,0.03579494,0.09001184,0.13341753,0.054242086,-0.0827299,0.06385369,-0.04489269,0.20465799,0.34949228,-0.10395803,-0.13222957,0.07367267,0.13215604,-0.065713316,0.18530451,-0.07225967,-0.21426688,-0.24904422,-0.033412028,-0.061109323,-0.1873509,-0.18977481,-0.01665715,0.044215515,-0.062496085,0.35633972,0.09425908,0.09112001,-0.061679415,-0.095113434,0.12789594,0.20167491,-0.108525835,0.15607068,0.095205076,0.08986983,-0.28845942,-0.14333087,-0.097741514,0.018048303,-0.029827515,0.28468314,-0.09424463,-0.038476814,-0.1175788,0.26829264,0.18952864,-0.2317598,-0.2321331,0.2232972,0.0073325955,0.057188656,0.12112949,-0.31704307,-0.10753996,-0.22711372,0.0833907
49,लगातार,continuously,SKRT,1,adv,16387,18703,-0.3212519,1.4438843,0.38826728,0.1261117,-0.24675494,-0.9407558,0.07201288,0.10654628,-0.11793379,1.6922119,-2.0313802,-0.36773127,-1.6803408,0.96113104,0.30619562,0.10543023,1.8959744,0.82391804,-1.6605232,-2.470858,0.034372773,-0.2555022,0.23151924,-0.040212378,-0.22880314,0.1703242,0.67795664,1.3778104,0.18052289,-0.34175608,1.1093862,0.09314212,-0.2564595,-0.6549882,-0.03260497,-0.66973275,1.8777106,0.7437735,2.027846,-0.30311584,0.72609985,0.2409953,-0.34480122,-0.84410715,-0.8784489,-0.3384882,-0.4149635,-1.3098929,-0.49652284,0.49383286,1.3631704,0.13791592,1.2418637,-1.0395637,-0.085435964,0.8404266,-1.2029818,-2.011385,0.84150344,1.2536734,-1.0047932,-1.0764781,-1.4524899,0.32983172,-1.0852172,1.3115076,-0.52895576,-0.088910274,1.4116292,2.1963696,-1.2403892,-0.09941465,-0.8924139,-0.559713,-1.4132642,0.46594015,1.7121233,-0.3123866,-0.3809121,2.3810718,-0.63566434,-1.7959516,-0.9139467,1.1773678,-0.83910376,1.6627618,-0.7367023,0.17107409,1.0474737,0.97531134,-0.22723536,-0.74684864,1.1546714,-1.1030794,-0.27516764,-1.115828,-0.19093756,-1.3026158,1.57568,0.88845646,0.24311669,0.23507601,-0.39648235,1.9232191,-0.8241531,0.7855086,-1.1334208,-1.3613178,-0.26328686,0.731878,-2.0726805,-2.0027416,0.85055524,-0.57774895,-1.7326477,1.388694,0.54256546,1.3943092,0.83649135,1.3481997,-1.2091684,1.1954736,-1.2018534,-1.4384891,1.2117146,0.032334354,0.66415846,-0.03308883,0.015699832,-1.0226265,-1.2132236,-1.0193987,-0.4434164,0.19492407,-0.63613653,-0.7969668,-0.863708,0.55389875,1.020004,-0.52810144,0.37039134,-1.5408012,-2.119168,2.0474198,1.3779776,0.89042795,0.8216151,1.729472,-0.7468047,2.9663403,-1.476003,0.6112458,0.22472669,1.4899244,-1.3496014,0.69692695,0.5054515,0.2827329,-0.85373884,1.4639817,-0.3933587,0.049739853,-0.09521583,0.80009055,1.2742127,0.8033477,-0.12602018,1.0002394,1.0512793,0.21367502,-0.19463223,0.2690781,-0.6011767,-0.7816561,-0.16410236,0.58808285,-0.6935618,-1.2779474,0.64274794,-0.14719783,-0.5048106,-2.1107109,-0.2725774,1.0059763,0.021978559,-1.3481542,-1.5613475,1.2872255,-1.4177406,-3.0441046,-0.66802144,2.1610155,0.6279774,2.1365728,-0.84147274,-1.2234093,-2.3965807,-0.6224349,0.40782097,-0.6376561
